"","DATE","OPINION","PROS","CONS","company"
"1","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed my time with Aldi and a shame I had to leave.  ","Nothing","All","ALDI"
"2","store assistant (Former Employee) - Edinburgh, City of Edinburgh - 28 August 2019","I feel that Adli's is very fair and honest employers.  The personal connection between management and staff is essential to how you are treated.","The people","99% of the job","ALDI"
"3","Store Assistant (Former Employee) - Edinburgh City, Midlothian - 25 December 2016","Being part of a strong team makes the job worth doing. ","None","Everything","ALDI"
"4","Warehouse Operative (Current Employee) - Bathgate, West Lothian - 12 April 2021","Meeting new and interesting people, learn to recognise what type of shopper people are.","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"5","Selector (Current Employee) - Bathgate, West Lothian - 4 April 2021","Became a better communicator through guidance and training.","Car park, coffee","None","ALDI"
"6","Delivery Driver (Former Employee) - Bathgate, West Lothian - 29 December 2020",NA,"Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"7","Driver class 1 (Current Employee) - Bathgate - 20 December 2020","If you want to spend money at acupuncture and massage that's your job.","Friendly and helpful staff and management","None","ALDI"
"8","Deputy Store Manager (Former Employee) - Falkirk, Falkirk - 27 June 2020","In Edinburgh are lazy management  don't work properly .","Hourly rate","Poor management, hours per month change monthly","ALDI"
"9","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020","Better less money and live better.","Good benifits","Had to shave facial hair","ALDI"
"10","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020",NA,"Nothing","All","ALDI"
"11","Store Order Selector (Current Employee) - Bathgate - 20 February 2020","Group of polish like a mafia.....Management very poor nothing  is good on there.Lot of  staff left ....very bad even area manager without experience ...","The people","99% of the job","ALDI"
"12","Store Assistant (Current Employee) - Cowdenbeath - 15 February 2020",NA,"None","Everything","ALDI"
"13","HGV Driver (Current Employee) - Bathgate, West Lothian - 9 February 2020","Nothing","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"14","Store Assistant (Former Employee) - Bathgate - 23 January 2020","All","Car park, coffee","None","ALDI"
"15","Picker/Packer (Former Employee) - Bathgate - 20 January 2020","Just like Auschwitz Aldi Bathgate is reminiscent of a concentration camp. The Section leaders and deputies are there to bully, manipulate, belittle you and lie to you. The only concern is putting products on a pallet with no regard to your mental health and physical health, the promotion system is a farce even if you have been there for years you will be overlooked for someone if that face fits their agenda. Night shift the only guaranteed hours in the building but not worth it as proper management are never there to see how badly it’s actually run and how poorly staff are treated.","Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"16","picker (Current Employee) - Bathgate - 12 January 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"17","Shop Assistant (Former Employee) - Kirkcaldy - 8 January 2020","The people","Hourly rate","Poor management, hours per month change monthly","ALDI"
"18","Deputy Manager (Current Employee) - Whitburn - 6 January 2020","99% of the job","Good benifits","Had to shave facial hair","ALDI"
